Symbol,percentile
A,0.07980000000000001
AAL,0.5448
AAPL,0.1782
ABBV,0.6862
ABT,0.4827
ACGL,0.3787
ACN,0.0263
ADBE,0.06849999999999999
ADI,0.397
ADM,0.7494
ADP,0.0836
ADSK,0.16440000000000002
AEE,0.5757
AEP,0.5368999999999999
AES,0.5564
AFL,0.2168
AIG,0.45530000000000004
AIZ,0.4518
AJG,0.32549999999999996
AKAM,0.17190000000000003
ALB,0.552
ALL,0.36229999999999996
ALLE,0.3528
AMAT,0.061500000000000006
AME,0.4404
AMGN,0.3592
AMP,0.2896
AMT,0.0352
AMZN,0.7114
ANET,0.16210000000000002
ANSS,0.13720000000000002
AOS,0.5085999999999999
APA,0.8283
APD,0.0541
APH,0.2641
APTV,0.0323
ARE,0.08529999999999999
ATO,0.825
AVB,0.0256
AVGO,0.2791
AVY,0.1423
AWK,0.3443
AXP,0.22699999999999998
AZO,0.036699999999999997
BA,0.9129999999999999
BAC,0.6225999999999999
BALL,0.051699999999999996
BAX,0.42590000000000006
BBWI,0.6227
BBY,0.1369
BDX,0.43689999999999996
BEN,0.2158
BG,0.7824
BIIB,0.37020000000000003
BIO,0.1838
BK,0.3145
BKNG,0.2519
BLK,0.2143
BMY,0.3901
BR,0.1604
BRO,0.2978
BSX,0.4067
BWA,0.0592
BX,0.4178
BXP,0.057699999999999994
C,0.6593000000000001
CAG,0.7186
CAH,0.10830000000000001
CAT,0.8637999999999999
CB,0.4277
CBOE,0.3157
CBRE,0.015600000000000001
CCI,0.0279
CCL,0.4681
CDNS,0.0506
CDW,0.0218
CE,0.5365
CF,0.6633
CFG,0.42450000000000004
CHD,0.2747
CHRW,0.2557
CHTR,0.47740000000000005
CI,0.028300000000000002
CINF,0.516
CL,0.5382
CLX,0.3452
CMCSA,0.406
CME,0.1985
CMG,0.3044
CMI,0.2547
CMS,0.3489
CNC,0.2759
CNP,0.6404000000000001
COF,0.38
COO,0.1856
COP,0.8076000000000001
COR,0.062
COST,0.4146
CPB,0.423
CPRT,0.1411
CPT,0.1431
CRM,0.10869999999999999
CSCO,0.08460000000000001
CSGP,0.35719999999999996
CSX,0.35729999999999995
CTAS,0.20739999999999997
CTRA,0.8615999999999999
CTSH,0.1038
CVS,0.35969999999999996
CVX,0.8722
D,0.546
DAL,0.6990000000000001
DD,0.6349
DE,0.2777
DFS,0.38020000000000004
DG,0.19039999999999999
DGX,0.3272
DHI,0.3194
DHR,0.048
DIS,0.1318
DLR,0.059500000000000004
DLTR,0.2826
DOV,0.5267000000000001
DPZ,0.6574
DRI,0.588
DTE,0.6808
DUK,0.5689
DVA,0.38299999999999995
DVN,0.8043
DXCM,0.4485
EA,0.073
EBAY,0.1911
ECL,0.2749
ED,0.4366
EFX,0.40909999999999996
EG,0.20350000000000001
EIX,0.5905
EL,0.5103
ELV,0.0415
EMN,0.501
EMR,0.6249
EOG,0.8136
EQIX,0.085
EQR,0.0487
EQT,0.8501000000000001
ES,0.22760000000000002
ESS,0.057
ETN,0.2026
ETR,0.5554
EW,0.2256
EXC,0.3946
EXPD,0.15789999999999998
EXPE,0.5972
EXR,0.1176
F,0.3741
FAST,0.47509999999999997
FCX,0.7444
FDS,0.21850000000000003
FDX,0.2683
FE,0.5131
FFIV,0.1769
FI,0.2671
FIS,0.1861
FITB,0.16649999999999998
FMC,0.7155
FRT,0.043
FTNT,0.2377
FTV,0.828
GD,0.8388
GE,0.9222
GEN,0.16940000000000002
GILD,0.3994
GIS,0.32409999999999994
GL,0.2924
GLW,0.1551
GM,0.6315999999999999
GOOGL,0.45659999999999995
GPC,0.0802
GPN,0.3122
GRMN,0.30469999999999997
GS,0.5092
GWW,0.1401
HAL,0.5173
HAS,0.0127
HBAN,0.3546
HCA,0.6444
HD,0.059699999999999996
HES,0.7879
HIG,0.1604
HLT,0.1892
HOLX,0.4893
HON,0.6365
HPE,0.032799999999999996
HPQ,0.0395
HRL,0.6887000000000001
HSIC,0.0864
HST,0.0741
HSY,0.5334
HUBB,0.2655
HUM,0.379
IBM,0.0909
ICE,0.2721
IDXX,0.22899999999999998
IEX,0.6638
IFF,0.3882
INCY,0.47909999999999997
INTC,0.2369
INTU,0.1532
IP,0.4667
IPG,0.0298
IQV,0.24780000000000002
IRM,0.1001
ISRG,0.3214
IT,0.2389
ITW,0.5021
IVZ,0.39189999999999997
J,0.33640000000000003
JBHT,0.1074
JCI,0.09849999999999999
JKHY,0.2288
JNJ,0.44520000000000004
JNPR,0.1073
JPM,0.6602
K,0.6252
KEY,0.336
KEYS,0.0147
KHC,0.8029999999999999
KIM,0.0352
KLAC,0.17739999999999997
KMB,0.6305
KMI,0.2403
KMX,0.051699999999999996
KO,0.34509999999999996
KR,0.3298
L,0.1519
LDOS,0.1929
LEN,0.505
LH,0.2705
LKQ,0.0374
LLY,0.45899999999999996
LMT,0.6964
LNT,0.33390000000000003
LOW,0.046900000000000004
LRCX,0.0791
LULU,0.1693
LUV,0.7132999999999999
LVS,0.2299
LYB,0.3053
MA,0.1741
MAA,0.0687
MAR,0.33649999999999997
MAS,0.36810000000000004
MCD,0.5297
MCHP,0.75
MCK,0.11869999999999999
MCO,0.1352
MDLZ,0.3613
MDT,0.39149999999999996
MET,0.1534
META,0.8117
MGM,0.4792
MHK,0.0908
MKC,0.5345
MLM,0.6940000000000001
MMC,0.32159999999999994
MMM,0.8851
MNST,0.6585
MO,0.736
MOS,0.7979999999999999
MPC,0.7070000000000001
MRK,0.33509999999999995
MRO,0.8903
MS,0.4711
MSCI,0.14859999999999998
MSFT,0.11359999999999999
MSI,0.0698
MTB,0.5508
MTD,0.0693
MU,0.2115
NCLH,0.5293
NDAQ,0.0689
NDSN,0.4854
NEE,0.4138
NEM,0.2993
NFLX,0.1533
NI,0.5323
NKE,0.2658
NOC,0.5919
NOW,0.1589
NRG,0.7548
NSC,0.4415
NTAP,0.1246
NTRS,0.4385
NUE,0.7792
NVDA,0.0786
NVR,0.2896
NWSA,0.0424
NXPI,0.2741
O,0.1257
OKE,0.49570000000000003
OMC,0.1489
ON,0.3775
ORCL,0.0851
ORLY,0.051
OXY,0.9323
PANW,0.0857
PARA,0.1114
PAYX,0.1637
PCAR,0.5968
PCG,0.7034999999999999
PEG,0.5789
PEP,0.3632
PFE,0.4715
PFG,0.09210000000000002
PG,0.6339
PGR,0.2802
PH,0.6696
PHM,0.3361
PKG,0.22829999999999998
PLD,0.0296
PM,0.6286
PNC,0.5342
PNR,0.363
PNW,0.7178
PPG,0.4985
PPL,0.7356999999999999
PRU,0.2767
PSA,0.0678
PSX,0.8449
PTC,0.2378
PWR,0.8783
PYPL,0.1971
QCOM,0.1229
QRVO,0.6322
RCL,0.306
REG,0.0462
REGN,0.2059
RF,0.16670000000000001
RJF,0.5698
RL,0.1027
RMD,0.5457
ROK,0.1934
ROL,0.2554
ROP,0.2961
ROST,0.21359999999999998
RSG,0.314
RVTY,0.1628
SBAC,0.044199999999999996
SBUX,0.4754
SCHW,0.4139
SHW,0.6640999999999999
SJM,0.706
SLB,0.29
SNA,0.7084
SNPS,0.0981
SO,0.7844
SPG,0.0873
SPGI,0.0676
SRE,0.42729999999999996
STLD,0.7841
STT,0.45049999999999996
STX,0.0213
STZ,0.475
SWK,0.5029
SWKS,0.6089
SYF,0.1801
SYK,0.6209
SYY,0.1388
T,0.4413
TAP,0.3342
TDG,0.9045000000000001
TEL,0.1069
TER,0.1727
TFX,0.6748000000000001
TGT,0.0965
TJX,0.0973
TMO,0.06309999999999999
TMUS,0.4733
TPR,0.1081
TRGP,0.7906
TRMB,0.0564
TROW,0.1689
TRV,0.2915
TSCO,0.1433
TSLA,0.4993
TSN,0.8545999999999999
TT,0.11779999999999999
TXN,0.3044
TXT,0.8008
UAL,0.6355
UDR,0.0857
UHS,0.7843000000000001
ULTA,0.1291
UNH,0.1206
UNP,0.42060000000000003
UPS,0.2259
URI,0.1673
USB,0.6990999999999999
V,0.16219999999999998
VLO,0.7718
VMC,0.6609999999999999
VRSK,0.1883
VRSN,0.3312
VRTX,0.3893
VTR,0.0643
VZ,0.23129999999999998
WAB,0.41600000000000004
WAT,0.10289999999999999
WBA,0.1482
WDC,0.042
WEC,0.5872999999999999
WELL,0.07150000000000001
WFC,0.865
WM,0.1609
WMB,0.3538
WMT,0.5005
WRB,0.3544
WTW,0.2289
WY,0.1623
WYNN,0.52
XEL,0.5478000000000001
XOM,0.9317
XYL,0.20920000000000002
YUM,0.2834
ZBH,0.5322
ZTS,0.2336
